student_id,name,prn,fee_status,attendance_percentage,avgMarks,sem1_att,sem2_att,sem3_att,sem4_att,sem5_att,sem6_att,sem1_cgpa,sem2_cgpa,sem3_cgpa,sem4_cgpa,sem5_cgpa,sem6_cgpa,credits,wellbeing,subjects_json
2023025130,Student 2023025130,2023025130,Paid,66,63.8,63,69,61,70,61,68,6.86,7.35,7.31,6.69,6.63,7.27,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 72}, {""subject"": ""Computer Networks"", ""score"": 62}, {""subject"": ""DBMS"", ""score"": 63}, {""subject"": ""Automata Theory"", ""score"": 58}]"
2023025131,Student 2023025131,2023025131,Overdue,80,65.5,78,79,83,75,81,78,6.74,7.36,7.42,7.14,7.03,6.98,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 65}, {""subject"": ""Computer Networks"", ""score"": 74}, {""subject"": ""DBMS"", ""score"": 59}, {""subject"": ""Automata Theory"", ""score"": 64}]"
2023025132,Student 2023025132,2023025132,Paid,77,56.2,80,75,76,80,78,78,7.06,7.15,7.35,6.65,7.08,7.28,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 61}, {""subject"": ""Computer Networks"", ""score"": 52}, {""subject"": ""DBMS"", ""score"": 56}, {""subject"": ""Automata Theory"", ""score"": 56}]"
2023025133,Student 2023025133,2023025133,Paid,81,63.0,85,84,81,86,83,78,7.36,7.28,7.45,7.05,7.0,7.32,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 60}, {""subject"": ""Computer Networks"", ""score"": 70}, {""subject"": ""DBMS"", ""score"": 69}, {""subject"": ""Automata Theory"", ""score"": 53}]"
2023025134,Student 2023025134,2023025134,Paid,70,61.5,74,67,70,70,74,72,7.35,6.66,7.22,7.49,6.65,7.19,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 56}, {""subject"": ""Computer Networks"", ""score"": 69}, {""subject"": ""DBMS"", ""score"": 70}, {""subject"": ""Automata Theory"", ""score"": 51}]"
2023025135,Student 2023025135,2023025135,Paid,64,62.2,63,65,63,69,69,68,6.59,6.56,6.66,6.52,7.31,6.97,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 52}, {""subject"": ""Computer Networks"", ""score"": 67}, {""subject"": ""DBMS"", ""score"": 68}, {""subject"": ""Automata Theory"", ""score"": 62}]"
2023025136,Student 2023025136,2023025136,Paid,84,56.8,83,87,87,79,85,86,7.21,7.13,6.85,6.59,6.51,7.05,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 63}, {""subject"": ""Computer Networks"", ""score"": 59}, {""subject"": ""DBMS"", ""score"": 51}, {""subject"": ""Automata Theory"", ""score"": 54}]"
2023025137,Student 2023025137,2023025137,Paid,83,59.5,82,88,79,81,81,82,6.54,7.43,7.49,7.18,6.94,6.67,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 62}, {""subject"": ""Computer Networks"", ""score"": 60}, {""subject"": ""DBMS"", ""score"": 57}, {""subject"": ""Automata Theory"", ""score"": 59}]"
2023025138,Student 2023025138,2023025138,Overdue,67,64.2,70,68,63,62,64,67,7.45,6.67,7.2,6.85,6.72,7.41,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 53}, {""subject"": ""Computer Networks"", ""score"": 68}, {""subject"": ""DBMS"", ""score"": 70}, {""subject"": ""Automata Theory"", ""score"": 66}]"
2023025139,Student 2023025139,2023025139,Overdue,70,59.8,74,73,67,65,70,69,6.98,6.73,6.87,6.62,7.46,7.0,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 74}, {""subject"": ""Computer Networks"", ""score"": 52}, {""subject"": ""DBMS"", ""score"": 57}, {""subject"": ""Automata Theory"", ""score"": 56}]"
2023025140,Student 2023025140,2023025140,Paid,61,62.2,63,57,61,62,56,61,7.4,7.2,7.28,7.41,6.54,7.0,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 50}, {""subject"": ""Computer Networks"", ""score"": 60}, {""subject"": ""DBMS"", ""score"": 68}, {""subject"": ""Automata Theory"", ""score"": 71}]"
2023025141,Student 2023025141,2023025141,Overdue,60,56.2,55,59,56,56,65,62,7.4,7.49,7.02,7.32,6.86,7.17,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 50}, {""subject"": ""Computer Networks"", ""score"": 54}, {""subject"": ""DBMS"", ""score"": 71}, {""subject"": ""Automata Theory"", ""score"": 50}]"
2023025142,Student 2023025142,2023025142,Paid,83,69.5,78,83,86,79,81,80,7.0,7.39,7.1,7.09,6.74,7.36,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 73}, {""subject"": ""Computer Networks"", ""score"": 67}, {""subject"": ""DBMS"", ""score"": 69}, {""subject"": ""Automata Theory"", ""score"": 69}]"
2023025143,Student 2023025143,2023025143,Paid,69,61.2,65,71,68,68,72,66,6.53,7.02,7.48,6.66,6.54,6.54,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 54}, {""subject"": ""Computer Networks"", ""score"": 69}, {""subject"": ""DBMS"", ""score"": 64}, {""subject"": ""Automata Theory"", ""score"": 58}]"
2023025144,Student 2023025144,2023025144,Paid,60,60.5,60,55,64,61,63,60,6.55,6.99,7.24,6.88,7.25,6.75,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 55}, {""subject"": ""Computer Networks"", ""score"": 68}, {""subject"": ""DBMS"", ""score"": 61}, {""subject"": ""Automata Theory"", ""score"": 58}]"
2023025145,Student 2023025145,2023025145,Paid,71,69.0,76,66,72,67,68,66,6.61,6.59,6.74,7.31,7.03,7.07,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 66}, {""subject"": ""Computer Networks"", ""score"": 62}, {""subject"": ""DBMS"", ""score"": 74}, {""subject"": ""Automata Theory"", ""score"": 74}]"
2023025146,Student 2023025146,2023025146,Overdue,68,63.5,69,69,70,73,72,69,7.0,6.61,6.8,6.59,7.4,6.75,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 68}, {""subject"": ""Computer Networks"", ""score"": 68}, {""subject"": ""DBMS"", ""score"": 59}, {""subject"": ""Automata Theory"", ""score"": 59}]"
2023025147,Student 2023025147,2023025147,Overdue,83,66.2,85,87,87,88,87,79,6.59,7.05,7.33,6.87,7.34,7.02,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 62}, {""subject"": ""Computer Networks"", ""score"": 69}, {""subject"": ""DBMS"", ""score"": 72}, {""subject"": ""Automata Theory"", ""score"": 62}]"
2023025148,Student 2023025148,2023025148,Paid,71,60.0,73,66,68,73,68,66,7.44,7.1,6.74,6.54,6.81,6.62,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 51}, {""subject"": ""Computer Networks"", ""score"": 55}, {""subject"": ""DBMS"", ""score"": 67}, {""subject"": ""Automata Theory"", ""score"": 67}]"
2023025149,Student 2023025149,2023025149,Overdue,68,67.2,72,67,68,73,64,67,6.51,7.38,6.51,6.55,7.26,7.27,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 68}, {""subject"": ""Computer Networks"", ""score"": 64}, {""subject"": ""DBMS"", ""score"": 65}, {""subject"": ""Automata Theory"", ""score"": 72}]"
2023025150,Student 2023025150,2023025150,Overdue,54,31.5,49,49,57,59,49,54,4.74,5.09,4.65,4.74,4.94,5.16,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 42}, {""subject"": ""Computer Networks"", ""score"": 28}, {""subject"": ""DBMS"", ""score"": 29}, {""subject"": ""Automata Theory"", ""score"": 27}]"
2023025151,Student 2023025151,2023025151,Overdue,56,28.2,57,51,60,57,56,51,4.65,4.89,5.38,4.9,5.39,4.9,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 31}, {""subject"": ""Computer Networks"", ""score"": 36}, {""subject"": ""DBMS"", ""score"": 24}, {""subject"": ""Automata Theory"", ""score"": 22}]"
2023025152,Student 2023025152,2023025152,Paid,30,33.0,31,32,30,26,34,27,4.52,5.03,5.32,5.04,4.72,5.29,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 48}, {""subject"": ""Computer Networks"", ""score"": 29}, {""subject"": ""DBMS"", ""score"": 32}, {""subject"": ""Automata Theory"", ""score"": 23}]"
2023025153,Student 2023025153,2023025153,Overdue,31,27.5,32,32,34,34,27,34,5.1,5.23,5.43,5.0,5.18,4.77,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 35}, {""subject"": ""Computer Networks"", ""score"": 23}, {""subject"": ""DBMS"", ""score"": 28}, {""subject"": ""Automata Theory"", ""score"": 24}]"
2023025154,Student 2023025154,2023025154,Paid,41,31.2,41,46,40,39,37,46,5.33,5.09,5.36,5.23,4.98,4.74,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 20}, {""subject"": ""Computer Networks"", ""score"": 20}, {""subject"": ""DBMS"", ""score"": 39}, {""subject"": ""Automata Theory"", ""score"": 46}]"
2023025155,Student 2023025155,2023025155,Paid,47,36.2,49,45,43,47,51,45,5.05,4.72,5.29,4.64,4.88,5.08,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 47}, {""subject"": ""Computer Networks"", ""score"": 35}, {""subject"": ""DBMS"", ""score"": 42}, {""subject"": ""Automata Theory"", ""score"": 21}]"
2023025156,Student 2023025156,2023025156,Overdue,34,33.2,35,39,34,37,34,38,5.4,4.7,4.64,4.6,4.95,4.76,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 23}, {""subject"": ""Computer Networks"", ""score"": 43}, {""subject"": ""DBMS"", ""score"": 38}, {""subject"": ""Automata Theory"", ""score"": 29}]"
2023025157,Student 2023025157,2023025157,Paid,38,31.0,39,40,42,41,36,37,4.76,4.95,5.37,4.53,4.94,5.43,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 45}, {""subject"": ""Computer Networks"", ""score"": 25}, {""subject"": ""DBMS"", ""score"": 24}, {""subject"": ""Automata Theory"", ""score"": 30}]"
2023025158,Student 2023025158,2023025158,Paid,39,30.0,40,44,35,35,36,35,5.42,5.12,4.64,5.49,5.16,5.21,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 37}, {""subject"": ""Computer Networks"", ""score"": 42}, {""subject"": ""DBMS"", ""score"": 20}, {""subject"": ""Automata Theory"", ""score"": 21}]"
2023025159,Student 2023025159,2023025159,Paid,37,38.5,32,33,42,37,39,39,4.85,4.61,4.79,4.66,5.2,5.12,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 44}, {""subject"": ""Computer Networks"", ""score"": 46}, {""subject"": ""DBMS"", ""score"": 43}, {""subject"": ""Automata Theory"", ""score"": 21}]"
2023025160,Student 2023025160,2023025160,Paid,55,35.5,50,59,56,58,50,60,4.58,5.12,5.48,4.99,4.5,4.77,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 31}, {""subject"": ""Computer Networks"", ""score"": 34}, {""subject"": ""DBMS"", ""score"": 39}, {""subject"": ""Automata Theory"", ""score"": 38}]"
2023025161,Student 2023025161,2023025161,Overdue,31,29.8,31,33,30,29,28,27,5.01,5.29,4.88,4.89,4.9,4.58,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 26}, {""subject"": ""Computer Networks"", ""score"": 40}, {""subject"": ""DBMS"", ""score"": 31}, {""subject"": ""Automata Theory"", ""score"": 22}]"
2023025162,Student 2023025162,2023025162,Overdue,41,33.5,40,44,45,43,40,38,5.21,4.85,5.1,4.57,4.76,4.89,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 49}, {""subject"": ""Computer Networks"", ""score"": 29}, {""subject"": ""DBMS"", ""score"": 25}, {""subject"": ""Automata Theory"", ""score"": 31}]"
2023025163,Student 2023025163,2023025163,Overdue,51,33.8,47,46,51,56,47,56,5.25,4.54,4.51,4.95,4.62,4.72,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 43}, {""subject"": ""Computer Networks"", ""score"": 38}, {""subject"": ""DBMS"", ""score"": 26}, {""subject"": ""Automata Theory"", ""score"": 28}]"
2023025164,Student 2023025164,2023025164,Paid,57,29.2,62,55,62,54,56,53,4.69,4.88,4.8,4.69,4.83,5.36,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 26}, {""subject"": ""Computer Networks"", ""score"": 32}, {""subject"": ""DBMS"", ""score"": 24}, {""subject"": ""Automata Theory"", ""score"": 35}]"
2023025165,Student 2023025165,2023025165,Overdue,39,28.5,38,36,40,38,44,39,5.22,4.55,4.85,4.65,4.83,4.88,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 27}, {""subject"": ""Computer Networks"", ""score"": 22}, {""subject"": ""DBMS"", ""score"": 45}, {""subject"": ""Automata Theory"", ""score"": 20}]"
2023025166,Student 2023025166,2023025166,Overdue,55,36.0,50,52,50,58,51,53,5.43,5.13,5.42,4.76,4.77,5.05,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 45}, {""subject"": ""Computer Networks"", ""score"": 37}, {""subject"": ""DBMS"", ""score"": 32}, {""subject"": ""Automata Theory"", ""score"": 30}]"
2023025167,Student 2023025167,2023025167,Overdue,38,32.2,38,33,34,41,43,36,5.15,4.83,5.49,4.92,5.18,5.15,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 28}, {""subject"": ""Computer Networks"", ""score"": 22}, {""subject"": ""DBMS"", ""score"": 41}, {""subject"": ""Automata Theory"", ""score"": 38}]"
2023025168,Student 2023025168,2023025168,Overdue,32,31.5,30,30,31,32,33,28,4.89,5.43,5.15,4.97,5.32,5.12,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 36}, {""subject"": ""Computer Networks"", ""score"": 22}, {""subject"": ""DBMS"", ""score"": 41}, {""subject"": ""Automata Theory"", ""score"": 27}]"
2023025169,Student 2023025169,2023025169,Overdue,51,36.0,52,51,52,46,52,47,4.61,5.02,4.83,4.55,5.33,5.44,20,70,"[{""subject"": ""Object Oriented Programming"", ""score"": 45}, {""subject"": ""Computer Networks"", ""score"": 37}, {""subject"": ""DBMS"", ""score"": 33}, {""subject"": ""Automata Theory"", ""score"": 29}]"
